Source File,Financial Year,Missing Count
ABPR%20FY%202019-20.pdf,19/20,229
ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%2020116-17.pdf,16/17,97
ANNUAL%20BUDGET%20PERFORMANCE%20REPORT%20FY%202013-14.pdf,13/14,133
Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf,17/18,237
Annual%20Budget%20Performance%20Report%202009-10.pdf,09-Oct,171
Annual%20Budget%20Performance%20Report%202012_13.pdf,Dec-13,272
Annual%20Budget%20Performance%20Report%20FY%202014-15.pdf,14/15,146
Annual%20Budget%20Performance%20Report%20FY%202015-16.pdf,15/16,165
Annual%20Budget%20Performance%20Report%20FY%202018-19.pdf,18/19,165
Annual%20Budget%20Performance%20Report%20FY%202021-22.pdf,21/22,654
Approved Budget Estimate FY 2019-20.pdf,19/20,17
Approved Budget Estimates FY 2020-21.pdf,20/21,17
Approved Budget Estimates FY 2021-22.pdf,21/22,18
Approved Budget Estimates FY 2022-23.pdf,22/23,289
Approved Budget Estimates FY 2023-24.pdf,23/24,363
FY2023-24%20Semi-Annual%20Monitoring%20Report%20%281%29.pdf,23/24,9
Final%20ABPR%20FY%202020-21%281%29.pdf,20/21,249
Semi%20Annual%20Budget%20Performance%20Report%20FY%202023-24_0.pdf,23/24,437
