Million Uganda Shillings,2022/23 Draft Estimates
Total,
Project 1338 Skills Development Project,"73,750"
410 International Development Association (IDA),"73,750"
Project 1432 OFID Funded Vocational Project Phase II,"73,322"
403 Arab Bank for Economic Development in Africa (BADEA),"73,322"
Project 1491 African Centers of Excellence II,"9,661"
410 International Development Association (IDA),"9,661"
Project 1665 Uganda Secondary Education Expansion Project,"33,188"
410 International Development Association (IDA),"33,188"
Total External Project Financing for Vote 013,"189,922"
